# Talon 内嵌中文分词词典（高频词，MIT 协议兼容）
# 格式：word freq
的 8000000
了 3000000
是 3000000
在 2500000
不 2000000
我 2000000
有 1500000
这 1500000
个 1500000
他 1500000
她 1000000
们 1000000
中 1000000
大 1000000
来 1000000
上 1000000
为 1000000
和 1000000
国 800000
地 800000
到 800000
以 800000
说 800000
时 800000
要 800000
就 800000
出 800000
会 800000
也 800000
你 800000
对 800000
生 600000
能 600000
而 600000
子 600000
那 600000
得 600000
于 600000
着 600000
下 600000
自 600000
之 600000
年 600000
过 600000
发 600000
后 600000
作 600000
里 600000
用 600000
道 600000
行 600000
所 600000
然 600000
家 600000
种 600000
事 600000
成 600000
方 600000
多 600000
经 600000
人工智能 50000
机器学习 45000
深度学习 40000
自然语言 35000
自然语言处理 35000
神经网络 35000
数据库 30000
数据 80000
数据分析 25000
数据结构 25000
大数据 30000
云计算 25000
人工 20000
智能 20000
算法 25000
模型 30000
训练 25000
推理 20000
向量 20000
搜索 25000
索引 20000
查询 20000
全文搜索 15000
知识图谱 15000
知识 25000
图谱 15000
语义 15000
语义搜索 10000
嵌入 15000
编码 15000
解码 15000
分词 15000
词典 15000
文档 20000
文本 20000
语言 25000
中文 20000
英文 15000
分析 25000
处理 25000
计算 25000
计算机 30000
程序 20000
编程 20000
编程语言 15000
软件 20000
系统 30000
网络 25000
互联网 20000
服务器 20000
服务 25000
用户 25000
应用 25000
技术 30000
开发 25000
设计 20000
管理 25000
信息 25000
项目 20000
工程 20000
测试 20000
性能 20000
优化 20000
安全 20000
公司 25000
企业 20000
市场 20000
产品 25000
工作 25000
学习 30000
教育 20000
学校 20000
大学 25000
学生 20000
老师 15000
研究 25000
科学 20000
问题 30000
方法 25000
结果 20000
时间 30000
可以 40000
我们 30000
他们 25000
自己 25000
没有 30000
什么 25000
这个 20000
一个 40000
因为 20000
所以 15000
但是 20000
如果 20000
已经 20000
还是 15000
虽然 10000
不过 15000
然后 15000
之后 15000
之前 10000
现在 20000
今天 20000
明天 15000
昨天 10000
北京 30000
上海 25000
广州 20000
深圳 20000
中国 30000
美国 20000
世界 20000
城市 15000
地方 15000
关系 15000
社会 15000
经济 20000
政治 10000
文化 15000
历史 15000
发展 25000
建设 15000
改革 15000
环境 15000
资源 15000
需要 25000
提供 15000
支持 20000
实现 20000
通过 20000
进行 20000
使用 25000
功能 20000
内容 20000
平台 20000
工具 15000
接口 15000
配置 15000
部署 10000
运行 15000
启动 10000
关闭 10000
打开 15000
创建 15000
删除 15000
修改 15000
更新 15000
添加 15000
保存 15000
加载 10000
导入 10000
导出 10000
清华大学 15000
北京大学 15000
复旦大学 10000
浙江大学 10000
机器 20000
电脑 15000
手机 20000
网站 15000
页面 15000
注册 10000
登录 15000
密码 10000
账号 10000
消息 15000
通知 10000
请求 15000
响应 10000
连接 15000
断开 10000
成功 20000
失败 15000
错误 15000
异常 10000
正常 15000
完成 20000
开始 20000
结束 15000
继续 15000
停止 10000
重新 10000
自动 15000
手动 10000
默认 10000
选择 15000
确认 10000
取消 10000
返回 15000
提交 10000
发送 15000
接收 10000
上传 10000
下载 10000
存储 15000
缓存 10000
日志 10000
监控 10000
报告 10000
统计 15000
图表 10000
列表 10000
详情 10000
摘要 10000
标题 15000
描述 10000
内存 15000
磁盘 10000
网络 25000
带宽 10000
延迟 10000
吞吐 10000
并发 10000
线程 10000
进程 10000
协程 10000
异步 10000
同步 10000
